q1,q2,q3,q4,q5,q6,q7,x,y,z
2.462519,-0.527142,0.126245,-1.750406,-3.126750,-0.934363,1.414093,0.494346,0.362670,0.592912
2.429087,-0.555243,0.140178,-1.737098,-3.141593,-1.006094,1.468419,0.489342,0.376606,0.592991
2.402479,-0.583214,0.149416,-1.721016,-3.141593,-1.073567,1.514154,0.483949,0.390641,0.592955
2.381258,-0.610625,0.155310,-1.702750,-3.141593,-1.136358,1.553680,0.479214,0.403186,0.592891
2.364194,-0.637238,0.158847,-1.682619,-3.141593,-1.194408,1.588599,0.475073,0.414432,0.592828
2.350394,-0.662904,0.160700,-1.660949,-3.141593,-1.247834,1.620046,0.471473,0.424534,0.592786
2.339201,-0.687538,0.161344,-1.638048,-3.141593,-1.296860,1.648833,0.468364,0.433622,0.592776
2.330115,-0.711106,0.161117,-1.614196,-3.141593,-1.341768,1.675533,0.465700,0.441806,0.592805
2.322753,-0.733605,0.160265,-1.589640,-3.141593,-1.382869,1.700559,0.463442,0.449182,0.592876
2.316816,-0.755058,0.158968,-1.564590,-3.141593,-1.420479,1.724203,0.461550,0.455833,0.592988
2.312067,-0.775503,0.157360,-1.539225,-3.141593,-1.454902,1.746678,0.459990,0.461830,0.593140
2.308315,-0.794986,0.155541,-1.513696,-3.141593,-1.486426,1.768137,0.458731,0.467238,0.593330
2.305405,-0.813557,0.153584,-1.488124,-3.141593,-1.515319,1.788694,0.457740,0.472116,0.593553
2.303210,-0.831270,0.151542,-1.462613,-3.141593,-1.541821,1.808432,0.456992,0.476514,0.593807
2.301626,-0.848176,0.149458,-1.437245,-3.141593,-1.566150,1.827416,0.456461,0.480479,0.594088
2.300562,-0.864324,0.147359,-1.412090,-3.141593,-1.588505,1.845697,0.456122,0.484051,0.594391
2.299946,-0.879762,0.145267,-1.387203,-3.141593,-1.609058,1.863316,0.455956,0.487268,0.594714
2.299715,-0.894534,0.143196,-1.362629,-3.141593,-1.627969,1.880306,0.455941,0.490163,0.595052
2.299813,-0.908680,0.141156,-1.338406,-3.141593,-1.645377,1.896695,0.456060,0.492766,0.595404
2.300196,-0.922239,0.139152,-1.314564,-3.141593,-1.661408,1.912509,0.456298,0.495104,0.595765
2.300822,-0.935244,0.137190,-1.291128,-3.141593,-1.676175,1.927771,0.456638,0.497203,0.596134
2.301658,-0.947728,0.135269,-1.268117,-3.141593,-1.689778,1.942499,0.457069,0.499084,0.596507
2.302672,-0.959720,0.133390,-1.245547,-3.141593,-1.702311,1.956714,0.457577,0.500767,0.596884
2.303839,-0.971246,0.131551,-1.223431,-3.141593,-1.713856,1.970433,0.458152,0.502271,0.597262
2.305135,-0.982332,0.129751,-1.201776,-3.141593,-1.724488,1.983672,0.458785,0.503611,0.597640
2.306540,-0.993000,0.127988,-1.180592,-3.141593,-1.734276,1.996447,0.459465,0.504804,0.598015
2.308036,-1.003270,0.126257,-1.159883,-3.141593,-1.743282,2.008773,0.460186,0.505861,0.598388
2.309606,-1.013162,0.124558,-1.139651,-3.141593,-1.751565,2.020665,0.460940,0.506797,0.598757
2.311236,-1.022695,0.122886,-1.119899,-3.141593,-1.759176,2.032136,0.461720,0.507621,0.599121
2.312915,-1.031883,0.121239,-1.100628,-3.141593,-1.766165,2.043200,0.462522,0.508345,0.599479
2.314631,-1.040743,0.119614,-1.081835,-3.141593,-1.772577,2.053869,0.463340,0.508977,0.599831
2.316374,-1.049289,0.118009,-1.063519,-3.141593,-1.778452,2.064156,0.464170,0.509526,0.600176
2.318135,-1.057533,0.116421,-1.045678,-3.141593,-1.783829,2.074074,0.465007,0.509999,0.600514
2.319907,-1.065488,0.114848,-1.028307,-3.141593,-1.788745,2.083633,0.465848,0.510404,0.600844
2.321683,-1.073166,0.113288,-1.011403,-3.141593,-1.793232,2.092844,0.466690,0.510747,0.601167
2.323457,-1.080577,0.111739,-0.994961,-3.141593,-1.797321,2.101720,0.467530,0.511033,0.601481
2.325223,-1.087732,0.110199,-0.978975,-3.141593,-1.801041,2.110271,0.468366,0.511268,0.601787
2.326978,-1.094639,0.108669,-0.963440,-3.141593,-1.804419,2.118506,0.469196,0.511458,0.602085
2.328716,-1.101308,0.107146,-0.948349,-3.141593,-1.807479,2.126436,0.470017,0.511605,0.602374
2.330434,-1.107748,0.105629,-0.933696,-3.141593,-1.810246,2.134071,0.470829,0.511716,0.602655
2.332129,-1.113966,0.104119,-0.919473,-3.141593,-1.812740,2.141421,0.471629,0.511792,0.602927
2.333798,-1.119970,0.102613,-0.905674,-3.141593,-1.814983,2.148494,0.472417,0.511837,0.603192
2.335439,-1.125767,0.101113,-0.892292,-3.141593,-1.816993,2.155299,0.473192,0.511855,0.603448
2.337051,-1.131364,0.099618,-0.879318,-3.141593,-1.818789,2.161847,0.473953,0.511848,0.603695
2.338630,-1.136767,0.098128,-0.866746,-3.141593,-1.820386,2.168144,0.474699,0.511820,0.603935
2.340177,-1.141983,0.096643,-0.854567,-3.141593,-1.821800,2.174200,0.475429,0.511771,0.604167
2.341690,-1.147018,0.095163,-0.842773,-3.141593,-1.823046,2.180023,0.476144,0.511705,0.604391
2.343167,-1.151877,0.093689,-0.831357,-3.141593,-1.824137,2.185620,0.476843,0.511623,0.604607
2.344609,-1.156566,0.092220,-0.820311,-3.141593,-1.825087,2.191000,0.477525,0.511527,0.604816
2.346015,-1.161090,0.090757,-0.809626,-3.141593,-1.825906,2.196170,0.478191,0.511419,0.605018
2.347384,-1.165455,0.089301,-0.799295,-3.141593,-1.826606,2.201138,0.478840,0.511300,0.605213
2.348717,-1.169664,0.087852,-0.789308,-3.141593,-1.827197,2.205910,0.479472,0.511171,0.605400
2.350014,-1.173724,0.086411,-0.779659,-3.141593,-1.827688,2.210493,0.480088,0.511034,0.605581
2.351273,-1.177637,0.084977,-0.770339,-3.141593,-1.828090,2.214895,0.480688,0.510891,0.605756
2.352497,-1.181410,0.083553,-0.761340,-3.141593,-1.828409,2.219122,0.481271,0.510741,0.605924
2.353685,-1.185046,0.082137,-0.752654,-3.141593,-1.828653,2.223180,0.481837,0.510586,0.606085
2.354837,-1.188550,0.080731,-0.744274,-3.141593,-1.828830,2.227076,0.482388,0.510426,0.606241
2.355955,-1.191924,0.079336,-0.736190,-3.141593,-1.828947,2.230816,0.482923,0.510263,0.606391
2.357038,-1.195174,0.077952,-0.728396,-3.141593,-1.829009,2.234405,0.483443,0.510097,0.606536
2.358087,-1.198304,0.076578,-0.720883,-3.141593,-1.829022,2.237849,0.483947,0.509929,0.606675
2.359103,-1.201316,0.075217,-0.713644,-3.141593,-1.828992,2.241154,0.484436,0.509759,0.606808
2.360086,-1.204215,0.073868,-0.706672,-3.141593,-1.828923,2.244325,0.484910,0.509588,0.606937
2.361038,-1.207004,0.072532,-0.699958,-3.141593,-1.828820,2.247367,0.485370,0.509416,0.607061
2.361959,-1.209687,0.071210,-0.693495,-3.141593,-1.828686,2.250285,0.485816,0.509244,0.607180
2.362849,-1.212267,0.069901,-0.687276,-3.141593,-1.828527,2.253085,0.486249,0.509071,0.607294
2.363710,-1.214747,0.068606,-0.681293,-3.141593,-1.828345,2.255770,0.486667,0.508900,0.607404
2.364543,-1.217131,0.067326,-0.675540,-3.141593,-1.828143,2.258345,0.487073,0.508729,0.607509
2.365347,-1.219421,0.066060,-0.670009,-3.141593,-1.827924,2.260815,0.487466,0.508558,0.607611
2.366124,-1.221621,0.064810,-0.664694,-3.141593,-1.827692,2.263184,0.487847,0.508389,0.607708
2.366875,-1.223734,0.063575,-0.659587,-3.141593,-1.827448,2.265456,0.488215,0.508222,0.607802
2.367601,-1.225762,0.062356,-0.654682,-3.141593,-1.827194,2.267635,0.488572,0.508056,0.607892
2.368302,-1.227710,0.061153,-0.649973,-3.141593,-1.826934,2.269724,0.488918,0.507891,0.607978
2.368979,-1.229578,0.059966,-0.645452,-3.141593,-1.826667,2.271728,0.489252,0.507729,0.608061
2.369633,-1.231370,0.058796,-0.641114,-3.141593,-1.826397,2.273649,0.489576,0.507568,0.608141
2.370265,-1.233089,0.057641,-0.636953,-3.141593,-1.826125,2.275491,0.489890,0.507410,0.608217
2.370875,-1.234738,0.056504,-0.632961,-3.141593,-1.825851,2.277258,0.490193,0.507254,0.608291
2.371464,-1.236318,0.055383,-0.629135,-3.141593,-1.825577,2.278953,0.490486,0.507100,0.608361
2.372033,-1.237833,0.054279,-0.625466,-3.141593,-1.825305,2.280577,0.490770,0.506948,0.608429
2.372583,-1.239284,0.053191,-0.621951,-3.141593,-1.825035,2.282136,0.491045,0.506799,0.608494
2.373113,-1.240674,0.052121,-0.618583,-3.141593,-1.824767,2.283630,0.491311,0.506652,0.608556
2.373626,-1.242005,0.051067,-0.615358,-3.141593,-1.824503,2.285063,0.491569,0.506508,0.608616
2.374122,-1.243279,0.050031,-0.612269,-3.141593,-1.824243,2.286438,0.491818,0.506366,0.608673
2.374600,-1.244500,0.049011,-0.609312,-3.141593,-1.823988,2.287757,0.492059,0.506227,0.608728
2.375062,-1.245667,0.048008,-0.606481,-3.141593,-1.823738,2.289021,0.492292,0.506090,0.608781
2.375509,-1.246785,0.047022,-0.603773,-3.141593,-1.823493,2.290235,0.492518,0.505956,0.608832
2.375941,-1.247854,0.046052,-0.601182,-3.141593,-1.823255,2.291399,0.492736,0.505824,0.608881
2.376358,-1.248876,0.045099,-0.598704,-3.141593,-1.823022,2.292515,0.492948,0.505695,0.608927
2.376761,-1.249854,0.044163,-0.596335,-3.141593,-1.822796,2.293587,0.493152,0.505568,0.608972
